0.000,0.000,0.000,-2.000,0.000,0.000,0.000
0.013,0.047,0.038,-1.976,2.356,1.884,1.178
0.027,0.094,0.075,-1.953,2.353,1.876,1.177
0.040,0.141,0.112,-1.929,2.349,1.861,1.174
0.053,0.188,0.149,-1.906,2.342,1.839,1.171
0.067,0.235,0.185,-1.883,2.333,1.810,1.166
0.080,0.281,0.221,-1.859,2.321,1.773,1.161
0.093,0.327,0.255,-1.836,2.307,1.730,1.154
0.107,0.373,0.289,-1.813,2.291,1.679,1.145
0.120,0.418,0.321,-1.791,2.273,1.622,1.136
0.133,0.464,0.353,-1.768,2.252,1.559,1.126
0.147,0.508,0.382,-1.746,2.229,1.489,1.115
0.160,0.552,0.411,-1.724,2.204,1.414,1.102
0.173,0.596,0.437,-1.702,2.177,1.333,1.088
0.187,0.639,0.462,-1.681,2.147,1.246,1.074
0.200,0.681,0.485,-1.660,2.116,1.155,1.058
0.213,0.723,0.507,-1.639,2.082,1.059,1.041
0.227,0.764,0.526,-1.618,2.047,0.959,1.023
0.240,0.804,0.543,-1.598,2.009,0.856,1.004
0.253,0.843,0.558,-1.578,1.969,0.748,0.985
0.267,0.882,0.571,-1.559,1.928,0.638,0.964
0.280,0.919,0.581,-1.540,1.884,0.526,0.942
0.293,0.956,0.589,-1.522,1.839,0.411,0.919
0.307,0.992,0.595,-1.504,1.792,0.295,0.896
0.320,1.027,0.599,-1.487,1.743,0.177,0.871
0.333,1.061,0.600,-1.470,1.692,0.059,0.846
0.347,1.093,0.599,-1.453,1.640,-0.059,0.820
0.360,1.125,0.595,-1.437,1.586,-0.177,0.793
0.373,1.156,0.589,-1.422,1.530,-0.295,0.765
0.387,1.185,0.581,-1.407,1.473,-0.411,0.737
0.400,1.214,0.571,-1.393,1.415,-0.526,0.707
0.413,1.241,0.558,-1.380,1.355,-0.638,0.677
0.427,1.266,0.543,-1.367,1.294,-0.748,0.647
0.440,1.291,0.526,-1.354,1.231,-0.856,0.616
0.453,1.314,0.507,-1.343,1.167,-0.959,0.584
0.467,1.337,0.485,-1.332,1.102,-1.059,0.551
0.480,1.357,0.462,-1.321,1.037,-1.155,0.518
0.493,1.377,0.437,-1.312,0.970,-1.246,0.485
0.507,1.395,0.411,-1.303,0.902,-1.333,0.451
0.520,1.411,0.382,-1.294,0.833,-1.414,0.416
0.533,1.427,0.353,-1.287,0.763,-1.489,0.382
0.547,1.440,0.321,-1.280,0.693,-1.559,0.346
0.560,1.453,0.289,-1.274,0.622,-1.622,0.311
0.573,1.464,0.255,-1.268,0.550,-1.679,0.275
0.587,1.473,0.221,-1.263,0.478,-1.730,0.239
0.600,1.482,0.185,-1.259,0.405,-1.773,0.203
0.613,1.488,0.149,-1.256,0.332,-1.810,0.166
0.627,1.493,0.112,-1.253,0.259,-1.839,0.129
0.640,1.497,0.075,-1.251,0.185,-1.861,0.092
0.653,1.499,0.038,-1.250,0.111,-1.876,0.055
0.667,1.500,-0.000,-1.250,0.037,-1.884,0.019
0.680,1.499,-0.038,-1.250,-0.037,-1.884,-0.019
0.693,1.497,-0.075,-1.251,-0.111,-1.876,-0.055
